,prime_award_unique_key,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
285,ASST_NON_69A37522300004020MT0_6940,2832068.62,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
286,ASST_NON_69A3752230000405DMTM_6940,1342771.5,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
287,ASST_NON_69A3752230000405DMTM_6940,1342771.5,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
288,ASST_NON_69A3752230000405BMTL_6940,339108.52,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
289,ASST_NON_69A3752230000405BMTL_6940,339108.52,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
290,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
291,ASST_NON_TX-2022-049_6955,4455990.0,2022-08-16,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
292,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
293,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
294,ASST_NON_693JJ22230000Y306FLD421081_6925,170363.0,2022-03-16,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
295,ASST_NON_693JJ22230000Y300FLD421081_6925,229766.0,2022-03-16,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
296,ASST_NON_693JJ22230000Y240IN1600928_6925,2971858.52,2022-05-17,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
297,ASST_NON_693JJ22230000Y001CA5940004_6925,2900000.0,2022-05-17,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
298,ASST_NON_693JJ22230000Y240IN1500260_6925,116630.66,2022-08-18,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
299,ASST_NON_693JJ22230000Y001CA5943056_6925,88530.0,2022-05-10,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
300,ASST_NON_NA22NOS4730208_1330,96820677.0,2022-07-21,13,Department of Commerce (DOC),S4SXKUK5RAC8,NATIONAL FISH AND WILDLIFE FOUNDATION,200052710
301,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
302,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
303,ASST_NON_693JJ22230000Y306IN1601869_6925,691375.99,2022-08-12,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
304,ASST_NON_693JJ22230000Y306IN0301165_6925,322064.98,2022-06-29,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
305,ASST_NON_693JJ22230000Y306IN0301165_6925,359264.98,2022-06-29,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
306,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
307,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
308,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
309,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
310,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
311,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
312,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
313,ASST_NON_69A3752230000405DNYL_6940,9315722.27,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
314,ASST_NON_69A3752230000405BNYH_6940,2352627.26,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
315,ASST_NON_69A3752230000405BNYH_6940,2352627.26,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
316,ASST_NON_693JJ22230000Y400CA5109272_6925,3447358.0,2022-09-12,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
317,ASST_NON_693JJ22230000Y230CA5109270_6925,4041974.0,2022-04-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
318,ASST_NON_693JJ22230000Y230CA5109270_6925,4041974.0,2022-04-19,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
319,ASST_NON_SD-2022-019_6955,9779002.0,2022-08-19,69,Department of Transportation (DOT),LWAMCP81LP14,"TRANSPORTATION, SOUTH DAKOTA DEPARTMENT OF",575012586
320,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
321,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
322,ASST_NON_693JJ22230000Y307MS0150015_6925,600000.0,2022-08-18,69,Department of Transportation (DOT),CMKLXEA2MND4,MISSISSIPPI DEPARTMENT OF TRANSPORTATION,392011010
323,ASST_NON_693JJ22230000Y240MI22A0478_6925,152504.0,2022-03-29,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
324,ASST_NON_693JJ22230000Y400COSW02446_6925,27072.0,2022-02-07,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
325,ASST_NON_693JJ22230000Y550VTSPWP022_6925,2000000.0,2022-01-27,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
326,ASST_NON_693JJ22230000Y001MI22A0444_6925,112173.0,2022-03-22,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
327,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
328,ASST_NON_KS-2022-013_6955,16802066.0,2022-07-27,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
329,ASST_NON_WV-2022-018_6955,2830061.0,2022-08-04,69,Department of Transportation (DOT),T1U2JF6Q1H45,"TRANSPORTATION, WEST VIRGINIA DEPARTMENT OF",253050027
330,ASST_NON_693JJ22230000Y001CA5333012_6925,1670441.0,2022-06-21,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
331,ASST_NON_693JJ22230000Y001CA5474015_6925,335087.0,2022-06-28,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
332,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
333,ASST_NON_69A37522300004020NM0_6940,3199205.99,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
334,ASST_NON_2202INLIEI_7590,1322623.0,2022-01-24,75,Department of Health and Human Services (HHS),PW8WAKF1KWG9,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,462043565
335,ASST_NON_693JJ22230000Y301COP1C4001_6925,464693.0,2022-09-14,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
336,ASST_NON_693JJ22230000Y237NH0131039_6925,152000.0,2022-04-05,69,Department of Transportation (DOT),DMA7LGZ3RMT1,"TRANSPORTATION, NEW HAMPSHIRE DEPARTMENT OF",33026502
337,ASST_NON_693JJ22230000Y308MN5620243_6925,29114.1,2022-02-23,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
338,ASST_NON_693JJ22230000Y233MI22A0386_6925,258520.3,2022-02-25,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
339,ASST_NON_693JJ22230000Y001MI22A0350_6925,349230.0,2022-02-10,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
340,ASST_NON_693JJ2223000022MPMI22A0939_6925,56328.0,2022-09-07,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
341,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
342,ASST_NON_693JJ22230000Y230CA6054066_6925,5461212.65,2022-09-08,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
343,ASST_NON_693JJ22230000Y300FLD621041_6925,1000000.0,2022-01-26,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
344,ASST_NON_693JJ31950003_6925,135401668.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
345,ASST_NON_693JJ31950003_6925,92700450.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
346,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
347,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
348,ASST_NON_MI-2022-037_6955,671025.0,2022-07-22,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
349,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
350,ASST_NON_693JJ22230000Y240CONBIS289_6925,92940.0,2022-02-14,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
351,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
352,ASST_NON_69A3752230000405DOHL_6940,6187134.21,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
353,ASST_NON_693JJ22230000Y300MN8521236_6925,900000.0,2022-07-26,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
354,ASST_NON_693JJ31950003_6925,178894809.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
355,ASST_NON_693JJ31950003_6925,192914381.23,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
356,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
357,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
358,ASST_NON_69A3752230000405DNMM_6940,1510254.62,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
359,ASST_NON_69A3752230000405DNMM_6940,1510254.62,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
360,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
361,ASST_NON_693JJ22230000YS30CA5135056_6925,2079576.0,2022-02-10,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
362,ASST_NON_69A3752230000405DNMM_6940,1510254.62,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
363,ASST_NON_69A37522300004020NM0_6940,3199205.99,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
364,ASST_NON_69A37522300004020NM0_6940,3199205.99,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
365,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
366,ASST_NON_693JJ22230000Y400COSW02444_6925,29570.0,2022-02-11,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
367,ASST_NON_KS-2022-013_6955,16802066.0,2022-07-27,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
368,ASST_NON_69A3752230000405BNYH_6940,2352627.26,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
369,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
370,ASST_NON_693JJ22230000Y240NJ0655301_6925,3013305.13,2022-04-26,69,Department of Transportation (DOT),ML8GCTH8C975,"TRANSPORTATION, NEW JERSEY DEPT OF",86182309
371,ASST_NON_693JJ22230000YS30FLD219096_6925,307178.0,2022-09-01,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
372,ASST_NON_693JJ32250014_6925,9659000.0,2022-06-15,69,Department of Transportation (DOT),HD1WMN6945W6,UNIVERSITY OF WASHINGTON,981950001
373,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
374,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
375,ASST_NON_693JJ22230000YS32CO0703461_6925,33296.0,2022-09-21,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
376,ASST_NON_693JJ22230000Y236CO0063070_6925,294000.0,2022-08-05,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
377,ASST_NON_693JJ22230000Y236CO0852113_6925,390205.0,2022-07-19,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
378,ASST_NON_693JJ22230000Y400CA5301024_6925,641444.0,2022-08-17,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
379,ASST_NON_693JJ22230000Y400CA6236020_6925,5000000.0,2022-07-18,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
380,ASST_NON_69A37522300004020MT0_6940,2832068.62,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
381,ASST_NON_693JJ22230000Y400COM185013_6925,283596.0,2022-02-08,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
382,ASST_NON_693JJ22230000Y400COM185015_6925,694960.0,2022-05-06,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
383,ASST_NON_69A37522300001640MTA_6940,1894876.0,2022-05-16,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
384,ASST_NON_69A37522300004020MD0_6940,5446027.12,2021-12-15,69,Department of Transportation (DOT),YU6WVSPTHKQ9,"TRANSPORTATION, MARYLAND DEPARTMENT OF",210610000
385,ASST_NON_MN-2020-020_6955,4278400.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
386,ASST_NON_693JJ22230000YS32OHE161073_6925,150000.0,2022-02-08,69,Department of Transportation (DOT),ERAMRH53K2Y7,"TRANSPORTATION, OHIO DEPARTMENT OF",432231102
387,ASST_NON_693JJ22230000YS30CA5205027_6925,1177293.0,2022-08-11,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
388,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
389,ASST_NON_693JJ22230000Y001COR400386_6925,921967.0,2022-08-26,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
390,ASST_NON_693JJ31950003_6925,178894809.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
391,ASST_NON_693JJ22230000Y230MI22A0421_6925,864341.28,2022-03-07,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
392,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
393,ASST_NON_693JJ31950003_6925,92700450.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
394,ASST_NON_693JJ22230000YS30CA5049026_6925,796500.0,2022-04-21,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
395,ASST_NON_VT-2022-003_6955,563465.0,2022-07-27,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
396,ASST_NON_693JJ22230000YS30CA5331021_6925,783600.0,2022-06-14,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
397,ASST_NON_DEEE0009998_8900,2678289.0,2022-08-19,89,Department of Energy (DOE),TR3DAXR9MCN8,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",596044909
398,ASST_NON_693JJ22230000Y940MTRTP2206_6925,68229.39,2022-08-17,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
399,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
400,ASST_NON_69A3602230812MCG0SD_6953,3438452.0,2022-06-07,69,Department of Transportation (DOT),GQD2G8FXQVJ3,SOUTH DAKOTA DEPARTMENT OF PUBLIC SAFETY,575012000
401,ASST_NON_00A00846_6800,909800.0,2022-09-16,68,Environmental Protection Agency (EPA),PJMWVZFPFMY4,ROGER WILLIAMS UNIVERSITY,28092923
402,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
403,ASST_NON_693JJ22230000YS30IN1703015_6925,192000.0,2022-09-08,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
404,ASST_NON_69A3752230000405BMTL_6940,339108.52,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
405,ASST_NON_69A37522300004020MT0_6940,2832068.62,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
406,ASST_NON_69A3752230000405DMTM_6940,1342771.5,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
407,ASST_NON_KS-2022-013_6955,16802066.0,2022-07-27,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
408,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
409,ASST_NON_693JJ22230000Y238MI22A0204_6925,624740.63,2022-02-16,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
410,ASST_NON_693JJ22230000Y240CONBIS294_6925,36695.0,2022-03-10,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
411,ASST_NON_693JJ22230000Y240IN2003057_6925,243200.0,2022-09-19,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
412,ASST_NON_693JJ22230000Y233IN2003056_6925,201536.0,2022-08-30,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
413,ASST_NON_MN-2020-020_6955,8712800.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
414,ASST_NON_MN-2020-020_6955,4278400.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
415,ASST_NON_WY-2022-002_6955,444813.0,2022-01-26,69,Department of Transportation (DOT),ZPACM3JHV295,"TRANSPORTATION, WYOMING DEPARTMENT OF",820093310
416,ASST_NON_MI-2021-049_6955,3245891.0,2021-08-18,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
417,ASST_NON_693JJ22230000Y240IN1600719_6925,56000.0,2022-09-14,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
418,ASST_NON_VA-2022-036_6955,4174347.0,2022-08-15,69,Department of Transportation (DOT),EMU7L25FKNE9,"RAIL AND PUBLIC TRANSPORTATION, VIRGINIA DEPARTMENT OF",232193600
419,ASST_NON_69A3752230000405DOHL_6940,6187134.21,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
420,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
421,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
422,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
423,ASST_NON_SD-2022-019_6955,9779002.0,2022-08-19,69,Department of Transportation (DOT),LWAMCP81LP14,"TRANSPORTATION, SOUTH DAKOTA DEPARTMENT OF",575012586
424,ASST_NON_693JJ22230000Y238MI22A0198_6925,163376.55,2022-02-16,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
425,ASST_NON_DEEE0009998_8900,2678289.0,2022-08-19,89,Department of Energy (DOE),TR3DAXR9MCN8,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",596044909
426,ASST_NON_DEEE0009998_8900,2678289.0,2022-08-19,89,Department of Energy (DOE),TR3DAXR9MCN8,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",596044909
427,ASST_NON_DEEE0009998_8900,2678289.0,2022-08-19,89,Department of Energy (DOE),TR3DAXR9MCN8,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",596044909
428,ASST_NON_KS-2022-013_6955,16802066.0,2022-07-27,69,Department of Transportation (DOT),S7VNQD6633Q6,"TRANSPORTATION, KANSAS DEPARTMENT OF",666033929
429,ASST_NON_693JJ22230000Y550NHA005176_6925,108590.41,2022-09-02,69,Department of Transportation (DOT),DMA7LGZ3RMT1,NEW HAMPSHIRE DEPARTMENT OF TRANSPORTATION,33016502
