,contract_award_unique_key,award_id_piid,total_obligated_amount,award_base_action_date,awarding_agency_code,awarding_agency_name,recipient_uei,recipient_name,recipient_zip_4_code
751,CONT_AWD_69319522F30073N_6955_NNG15SC03B_8000,69319522F30073N,52750.0,2022-09-20,69,DEPARTMENT OF TRANSPORTATION (DOT),DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORPORATION,201905230
752,CONT_AWD_1282B122F0030_12C2_47QSHA22D000M_4732,1282B122F0030,75138.16,2022-09-22,12,DEPARTMENT OF AGRICULTURE (USDA),QMCVMXTXA9S1,"BURHANI ENTERPRISES, INC.",606384302
753,CONT_AWD_693JJ920C000009_6940_-NONE-_-NONE-,693JJ920C000009,150000.0,2020-09-30,69,DEPARTMENT OF TRANSPORTATION (DOT),MP9QE8164DD5,"COCHRAN, CHRISTOPHER",958311836
754,CONT_AWD_693JK422F98525N_6901_693JK422D800008_6901,693JK422F98525N,700000.0,2022-09-30,69,DEPARTMENT OF TRANSPORTATION (DOT),MV16RAZPXBA1,XENTITY CORPORATION,804013275
755,CONT_AWD_12444122P0016_12C2_-NONE-_-NONE-,12444122P0016,26800.0,2022-03-15,12,DEPARTMENT OF AGRICULTURE (USDA),QH7AWD9EHC45,"M. A. RIGONI, INC.",323470987
756,CONT_AWD_140P2022F0204_1443_140P2021D0003_1443,140P2022F0204,328016.91,2022-09-07,14,DEPARTMENT OF THE INTERIOR (DOI),KJQHMKR62UJ3,"VANASSE HANGEN BRUSTLIN, INC.",231855797
757,CONT_AWD_140P2021F0194_1443_INP16PA00065_1443,140P2021F0194,466777.8,2021-06-22,14,DEPARTMENT OF THE INTERIOR (DOI),ZJWRBK5HFKN7,"CLANGO, INC.",222013147
758,CONT_AWD_693JJ622F00042N_6930_693JJ619A000005_6930,693JJ622F00042N,4560480.0,2022-09-26,69,DEPARTMENT OF TRANSPORTATION (DOT),M3QZCWH5LB14,TRANSYSTEMS CORPORATION,641082526
759,CONT_AWD_12363N22F4052_12C2_1204M318A0008_12C2,12363N22F4052,102217.5,2022-09-27,12,DEPARTMENT OF AGRICULTURE (USDA),YUFBKKV13B99,BRITT CORPORATION,97814
760,CONT_AWD_1240LU22F0142_12C2_12034320D0041_12C2,1240LU22F0142,100810.0,2022-09-27,12,DEPARTMENT OF AGRICULTURE (USDA),GA9XVDL5YYP9,"THOMAS, DEAN & HOSKINS, INC.",594011301
761,CONT_AWD_68HE0722F0180_6800_68HE0722D0006_6800,68HE0722F0180,5218921.66,2022-09-29,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),RDDEZRA7CSB3,"B.E. SCAIFE PLUMBING COMPANY, INC",631143633
762,CONT_AWD_1240BD22F0097_12C2_12046W20A0064_12C2,1240BD22F0097,170151.21,2022-08-29,12,DEPARTMENT OF AGRICULTURE (USDA),EKXYJAU463C1,"WILDLIFE ACOUSTICS, INC.",017542657
763,CONT_AWD_1305M222FNWWG0080_1330_1305M420DNWWA0069_1330,1305M222FNWWG0080,1701430.99,2022-07-22,13,DEPARTMENT OF COMMERCE (DOC),LKH1DTGEND43,TESLA LABORATORIES INC.,222024015
764,CONT_AWD_6973GH22F01501_6920_6973GH22D00014_6920,6973GH22F01501,140840.11,2022-08-23,69,DEPARTMENT OF TRANSPORTATION (DOT),U9GDGL5NLPE1,QUAD J INC,461238289
765,CONT_AWD_12441922F0043_12C2_12444222A0018_12C2,12441922F0043,172254.6,2022-09-12,12,DEPARTMENT OF AGRICULTURE (USDA),P1N7EBZLSY18,"ENVIRONMENTAL SOLUTIONS & INNOVATIONS, INC.",452321762
766,CONT_AWD_140R4022C0001_1425_-NONE-_-NONE-,140R4022C0001,76789703.94,2021-12-21,14,DEPARTMENT OF THE INTERIOR (DOI),NEEXAJK6X7H4,"S.J. LOUIS CONSTRUCTION, INC.",563204802
767,CONT_AWD_6982AF22F00108N_6925_6982AF21D000004_6925,6982AF22F00108N,379676.99,2022-06-23,69,DEPARTMENT OF TRANSPORTATION (DOT),VX6JJMAC6UT1,,802115171
768,CONT_AWD_12441922F0068_12C2_127A8618D0025_12C2,12441922F0068,155812.5,2022-09-28,12,DEPARTMENT OF AGRICULTURE (USDA),UU13DBB69JC5,"MULLENIX, JEFF A",719570000
769,CONT_AWD_6973GH22F01724_6920_6973GH22D00014_6920,6973GH22F01724,313107.77,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),U9GDGL5NLPE1,QUAD J INC,461238289
770,CONT_AWD_693JJ322F00324N_6925_693JK418D500023_6901,693JJ322F00324N,155942.4,2022-09-15,69,DEPARTMENT OF TRANSPORTATION (DOT),RVJLLNNQ1W83,A1 FEDERAL LLC,212014119
771,CONT_AWD_6973GH22C00120_6920_-NONE-_-NONE-,6973GH22C00120,570000.0,2022-06-24,69,DEPARTMENT OF TRANSPORTATION (DOT),GGERP99QBF88,,320438738
772,CONT_AWD_12444122F0086_12C2_12444122A0003_12C2,12444122F0086,57818.5,2022-06-01,12,DEPARTMENT OF AGRICULTURE (USDA),ZNCMG7ZJCMK3,RED LEAF FORESTRY INC,719135063
773,CONT_AWD_140F0522P0275_1448_-NONE-_-NONE-,140F0522P0275,30711.0,2022-09-08,14,DEPARTMENT OF THE INTERIOR (DOI),XCZ8MBWNEKW1,"HISTORICAL RESEARCH ASSOCIATES, INC.",598024416
774,CONT_AWD_693JJ322F00125N_6925_693JJ320D000014_6925,693JJ322F00125N,329517.86,2022-05-16,69,DEPARTMENT OF TRANSPORTATION (DOT),YDPJK6JNCT36,CLASON POINT PARTNERS INC.,107017071
775,CONT_AWD_693JJ422F00023N_6953_693JJ420A000001_6953,693JJ422F00023N,175000.0,2022-05-25,69,DEPARTMENT OF TRANSPORTATION (DOT),XBLPHT67HLL5,"UNITEC DISTRIBUTION SYSTEMS, INC.",211575425
776,CONT_AWD_89303019FIA000004_8900_DENA0003061_8900,89303019FIA000004,2325950.19,2019-07-11,89,DEPARTMENT OF ENERGY (DOE),MJBFX1KJ7KY1,,208505355
777,CONT_AWD_693JJ321F000342_6925_47QREB19D0010_4732,693JJ321F000342,80732.42,2021-09-23,69,DEPARTMENT OF TRANSPORTATION (DOT),DM65Q664LJ19,METCOR LTD,200051728
778,CONT_AWD_68HE0320F0031_6800_68HE0118D0007_6800,68HE0320F0031,257488.68,2020-06-02,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),J49NKUPKV6V4,"NOBIS ENGINEERING, INC.",033018537
779,CONT_AWD_W9127821F0248_9700_W9127817D0081_9700,W9127821F0248,7588000.0,2021-08-03,97,DEPARTMENT OF DEFENSE (DOD),KMJLTMJHNFV3,"C & C MARINE, L.L.C.",366064060
780,CONT_AWD_12444522F0124_12C2_12444521D0023_12C2,12444522F0124,49232.0,2022-09-06,12,DEPARTMENT OF AGRICULTURE (USDA),CC2CPABE8WP6,"WINSLOW, WESLEY",856168280
781,CONT_AWD_EPC15022_6800_-NONE-_-NONE-,EPC15022,53239439.92,2015-08-27,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),WSEZME8NNBA8,"CADMUS GROUP, INC., THE",024518703
782,CONT_AWD_693JJ322F00401N_6925_693JJ321D000022_6925,693JJ322F00401N,649200.8,2022-09-22,69,DEPARTMENT OF TRANSPORTATION (DOT),JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC.,221023830
783,CONT_AWD_693JJ422F00034N_6953_693JJ420D000005_6953,693JJ422F00034N,2060782.21,2022-07-19,69,DEPARTMENT OF TRANSPORTATION (DOT),QDE5UHE5XD16,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,240616100
784,CONT_AWD_12760420F0159_12C2_12760420A0002_12C2,12760420F0159,2002992.64,2020-07-29,12,DEPARTMENT OF AGRICULTURE (USDA),EELEC8QCC3N8,"CACI NSS, INC.",201514206
785,CONT_AWD_693JJ919F000063_6940_693JJ918D000019_6940,693JJ919F000063,12467007.37,2019-05-31,69,DEPARTMENT OF TRANSPORTATION (DOT),VM3RJUJSN3A4,TRANSPORTATION RESEARCH CENTER INC.,433199473
786,CONT_AWD_12444122F0133_12C2_12444122A0028_12C2,12444122F0133,9855.0,2022-08-11,12,DEPARTMENT OF AGRICULTURE (USDA),VM6WNG6BDMB5,TOM LODGE,287146695
787,CONT_AWD_1240LS22F0046_12C2_AG84M8C170002_12C2,1240LS22F0046,41836.5,2022-08-16,12,DEPARTMENT OF AGRICULTURE (USDA),VVRNWSJRSMC9,"DEROULHAC, DAVID C",598759740
788,CONT_AWD_140L3422F0007_1422_140L0620D0020_1422,140L3422F0007,55440.0,2022-07-15,14,DEPARTMENT OF THE INTERIOR (DOI),NEZLJNFFTE11,"CUTTING EDGE FORESTRY, INC.",975019335
789,CONT_AWD_140L2622P0045_1422_-NONE-_-NONE-,140L2622P0045,37000.52,2022-07-26,14,DEPARTMENT OF THE INTERIOR (DOI),ENLHG3EPTC57,CERTIFIED PRIORITY LOGISTICS INC,310612116
790,CONT_AWD_693JJ922F00104N_6940_693JJ922D000020_6940,693JJ922F00104N,1101348.0,2022-09-16,69,DEPARTMENT OF TRANSPORTATION (DOT),JV39FYRGTSF3,"ADVERTISING COUNCIL, INC., THE",100174503
791,CONT_AWD_6973GH22F01025_6920_6973GH18D00082_6920,6973GH22F01025,79952.95,2022-05-27,69,DEPARTMENT OF TRANSPORTATION (DOT),NP3NSFVMNUM3,EATON CORPORATION,276152966
792,CONT_AWD_693JJ921F000005_6940_GS00Q13NSD3000_4732,693JJ921F000005,11369.97,2020-12-18,69,DEPARTMENT OF TRANSPORTATION (DOT),C9JMWJDXZ4M8,SPRINT COMMUNICATIONS COMPANY L.P.,201913438
793,CONT_AWD_1202SA22K9607_12C2_1202SA22T9600_12C2,1202SA22K9607,85200.0,2022-06-23,12,DEPARTMENT OF AGRICULTURE (USDA),GFMENWNGBTJ7,FREEFLY SYSTEMS INC.,980724548
794,CONT_AWD_693JK421F985504_6901_693JJ321D000003_6925,693JK421F985504,135322.64,2021-09-20,69,DEPARTMENT OF TRANSPORTATION (DOT),KGJUK3TUQ416,"BIZZELL GROUP LLC, THE",207852230
795,CONT_AWD_693JJ318F000407_6925_DTFH6116D00053_6925,693JJ318F000407,533399.88,2018-09-25,69,DEPARTMENT OF TRANSPORTATION (DOT),KTMAJCY6JXM3,"LEIDOS, INC.",201905640
796,CONT_AWD_12444222F0150_12C2_12447U18D0004_12C2,12444222F0150,648898.0,2022-06-03,12,DEPARTMENT OF AGRICULTURE (USDA),GNWKJDXLAZC8,,39451
797,CONT_AWD_89303022FCD000003_8900_89303018AOE000001_8900,89303022FCD000003,335674.0,2022-06-15,89,DEPARTMENT OF ENERGY (DOE),QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",220316050
798,CONT_AWD_140L1222F0036_1422_140L0621D0006_1422,140L1222F0036,73872.86,2022-08-12,14,DEPARTMENT OF THE INTERIOR (DOI),SX3XNLA4CCP3,"S&B CHRIST CONSULTING, LLC",891340580
799,CONT_AWD_1240BK22F0109_12C2_1240BK22A0012_12C2,1240BK22F0109,67800.0,2022-08-18,12,DEPARTMENT OF AGRICULTURE (USDA),HL1PNEQMHCK6,"GRAYBACK FORESTRY, INC.",975328802
800,CONT_AWD_89303021CIM000006_8900_-NONE-_-NONE-,89303021CIM000006,22996896.85,2020-12-22,89,DEPARTMENT OF ENERGY (DOE),S58NJBBDKRF5,"KADIAK, LLC",995035825
801,CONT_AWD_69319522F30077N_6955_69319519D000009_6955,69319522F30077N,2108287.32,2022-09-29,69,DEPARTMENT OF TRANSPORTATION (DOT),K32YFM1YL1M5,CDI/DCI JOINT VENTURE,917544414
802,CONT_AWD_693JJ421F000015_6953_693JJ418A000001_6953,693JJ421F000015,477350.4,2021-03-25,69,DEPARTMENT OF TRANSPORTATION (DOT),MHCKB3Y2LC46,FEDERAL INTERGRATED SYSTEMS CORP,223155755
803,CONT_AWD_1282B122F0022_12C2_1284M820D0019_12C2,1282B122F0022,150350.0,2022-08-24,12,DEPARTMENT OF AGRICULTURE (USDA),KXVHR7Z986H3,"PRICE CONTRACTING, INC.",598706149
804,CONT_AWD_140P2021F0188_1443_140P2021D0003_1443,140P2021F0188,335958.26,2021-05-27,14,DEPARTMENT OF THE INTERIOR (DOI),KJQHMKR62UJ3,"VANASSE HANGEN BRUSTLIN, INC.",231855797
805,CONT_AWD_12760420F0223_12C2_12760420A0007_12C2,12760420F0223,21202069.47,2020-09-18,12,DEPARTMENT OF AGRICULTURE (USDA),CCQBGD21CZR9,CREATIVE SYSTEMS AND CONSULTING,221025201
806,CONT_AWD_140G0222P0225_1434_-NONE-_-NONE-,140G0222P0225,17720.0,2022-08-24,14,DEPARTMENT OF THE INTERIOR (DOI),F4ZEU11UQM87,SANA TRADING & SERVICES,852834775
807,CONT_AWD_W9128A22C0003_9700_-NONE-_-NONE-,W9128A22C0003,0.0,2022-02-24,97,DEPARTMENT OF DEFENSE (DOD),YLPAM7AHV725,AMERICAN MARINE CORPORATION,968175021
808,CONT_AWD_12363N22P4016_12C2_-NONE-_-NONE-,12363N22P4016,674429.0,2022-08-16,12,DEPARTMENT OF AGRICULTURE (USDA),FH1CWE17A8N5,,974389720
809,CONT_AWD_693C7322F00065N_6925_693C7322D000004_6925,693C7322F00065N,146682.6,2022-05-11,69,DEPARTMENT OF TRANSPORTATION (DOT),KKJ6F7ANRMK3,JACOBS PROJECT MANAGEMENT CO.,222015785
810,CONT_AWD_1240LP22P0043_12C2_-NONE-_-NONE-,1240LP22P0043,26412.5,2022-03-03,12,DEPARTMENT OF AGRICULTURE (USDA),MN9MMDU98L87,,974786082
811,CONT_AWD_12444622P0125_12C2_-NONE-_-NONE-,12444622P0125,27869.0,2022-07-20,12,DEPARTMENT OF AGRICULTURE (USDA),GR5JJCBZE4K3,YELLOWFIELD BIOLOGICAL SURVEYS,545689258
812,CONT_AWD_127EAU22F0030_12C2_12837120D0025_12C2,127EAU22F0030,940577.0,2022-06-21,12,DEPARTMENT OF AGRICULTURE (USDA),KWMVMQWUKWL4,"SOUTHWEST CONTRACTING & ASSOCIATES, LLC",88316
813,CONT_AWD_69056722F00117N_6925_1284M820D0019_12C2,69056722F00117N,1972375.0,2022-07-28,69,DEPARTMENT OF TRANSPORTATION (DOT),KXVHR7Z986H3,"PRICE CONTRACTING, INC.",598706149
814,CONT_AWD_68HE0422F0011_6800_68HE0421D0016_6800,68HE0422F0011,11972439.68,2021-12-17,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),XANQARYHQFR1,"KEMRON ENVIRONMENTAL SERVICES, INC.",30318
815,CONT_AWD_1284LM22F0158_12C2_1284LM22D0036_12C2,1284LM22F0158,22230.0,2022-09-30,12,DEPARTMENT OF AGRICULTURE (USDA),C6Y9DVHK3TD9,LG FORESTRY INC,975023387
816,CONT_AWD_1284LM22F0060_12C2_12034319D0017_12C2,1284LM22F0060,58987.0,2022-05-05,12,DEPARTMENT OF AGRICULTURE (USDA),JHARC6U9CLA5,"GE FORESTRY, INC",975029446
817,CONT_AWD_140F0322F0006_1448_140F0519D0001_1448,140F0322F0006,317364.47,2022-03-29,14,DEPARTMENT OF THE INTERIOR (DOI),RLGDG66L9JE6,"SHORT-ELLIOTT-HENDRICKSON, INCORPORATED",802227938
818,CONT_AWD_693JJ422F00021N_6953_693JJ422A000003_6953,693JJ422F00021N,1180926.04,2022-05-18,69,DEPARTMENT OF TRANSPORTATION (DOT),D28ANMMENT87,"YES& FEDERAL, LLC",223142849
819,CONT_AWD_697DCK22C00280_6920_-NONE-_-NONE-,697DCK22C00280,8723983.2,2022-08-02,69,DEPARTMENT OF TRANSPORTATION (DOT),VJRKWLBYYAD5,"NIRA, INC.",200242701
820,CONT_AWD_140L6222F0022_1422_140L0620D0032_1422,140L6222F0022,80649.0,2022-09-19,14,DEPARTMENT OF THE INTERIOR (DOI),TB5PGUMUFEY9,QUICKSILVER CONTRACTING COMPANY,977397584
821,CONT_AWD_697DCK22F01073_6920_697DCK22D00001_6920,697DCK22F01073,495880.0,2022-05-24,69,DEPARTMENT OF TRANSPORTATION (DOT),PHZDZ8SJ5CM1,CDW GOVERNMENT LLC,600614304
822,CONT_AWD_12444122F0073_12C2_12444121A0003_12C2,12444122F0073,26880.2,2022-06-07,12,DEPARTMENT OF AGRICULTURE (USDA),LKSHTX63UJK9,"MARSHFIELD FOREST SERVICE, INC",298243707
823,CONT_AWD_140L4322F0007_1422_140L4318A0014_1422,140L4322F0007,208497.15,2022-01-20,14,DEPARTMENT OF THE INTERIOR (DOI),N7KHXH2J8XM5,"LEADING EDGE AVIATION, LLC",835014524
824,CONT_AWD_69056722C000003_6925_-NONE-_-NONE-,69056722C000003,24519861.65,2021-11-18,69,DEPARTMENT OF TRANSPORTATION (DOT),CB5UWYL7QX85,CONWAY CONSTRUCTION COMPANY,986657048
825,CONT_AWD_89303022FIM000091_8900_89303022AMA000041_8900,89303022FIM000091,132343.16,2022-09-08,89,DEPARTMENT OF ENERGY (DOE),FFJAX4J2KE25,COHNREZNICK LLP,100196036
826,CONT_AWD_12444622F0078_12C2_12445522A0074_12C2,12444622F0078,12656.0,2022-09-08,12,DEPARTMENT OF AGRICULTURE (USDA),QK1EGJ9A5GB4,ANDY MICHALEK LOGGING INC,566302059
827,CONT_AWD_140G0222F0224_1434_140G0221D0017_1434,140G0222F0224,210719.72,2022-08-17,14,DEPARTMENT OF THE INTERIOR (DOI),GY1ZU7HY8LU5,DIGITAL AERIAL SOLUTIONS LLC,335783605
828,CONT_AWD_1240LT22F0085_12C2_1284M820D0022_12C2,1240LT22F0085,2558202.25,2022-08-23,12,DEPARTMENT OF AGRICULTURE (USDA),N9ZGT9NTDTX5,"YALE CREEK, INC.",834406004
829,CONT_AWD_693JJ922F00097N_6940_693JJ921D000012_6940,693JJ922F00097N,1053474.0,2022-08-05,69,DEPARTMENT OF TRANSPORTATION (DOT),E4TEF9RE5N76,"DYNAMIC RESEARCH, INC.",905016259
830,CONT_AWD_693JK422P800012_6901_-NONE-_-NONE-,693JK422P800012,12000.0,2022-08-23,69,DEPARTMENT OF TRANSPORTATION (DOT),C9YNBUVSVEK3,OPEN GEOSPATIAL CONSORTIUM INC,474088201
831,CONT_AWD_127EAT22P0052_12C2_-NONE-_-NONE-,127EAT22P0052,249886.0,2022-06-10,12,DEPARTMENT OF AGRICULTURE (USDA),CDMPGNLGVNT4,OC FORESTRY INC,975012819
832,CONT_AWD_693JJ422F00067N_6953_47QRAA18D00FJ_4732,693JJ422F00067N,112360.82,2022-09-27,69,DEPARTMENT OF TRANSPORTATION (DOT),QPX7HPXJX733,ACQUISITION PROFESSIONALS LLC,225544889
833,CONT_AWD_12444122F0097_12C2_12467020A0024_12C2,12444122F0097,21600.0,2022-06-21,12,DEPARTMENT OF AGRICULTURE (USDA),JQ7JVUSCBEX5,,291129051
834,CONT_AWD_W912HZ18C0016_9700_-NONE-_-NONE-,W912HZ18C0016,3665916.92,2018-07-24,97,DEPARTMENT OF DEFENSE (DOD),GUVDFLFNAB87,TRABUS,921084024
835,CONT_AWD_693JJ421F000022_6953_693JJ418A000001_6953,693JJ421F000022,290841.6,2021-04-22,69,DEPARTMENT OF TRANSPORTATION (DOT),MHCKB3Y2LC46,FEDERAL INTERGRATED SYSTEMS CORP,223155755
836,CONT_AWD_693JK422F98521N_6901_693JK422D800007_6901,693JK422F98521N,130404.4,2022-09-29,69,DEPARTMENT OF TRANSPORTATION (DOT),V4T4LAWDEKM6,"WERIS, INC",201668503
837,CONT_AWD_127EAX22F0031_12C2_127EAX22D0003_12C2,127EAX22F0031,440122.0,2022-09-28,12,DEPARTMENT OF AGRICULTURE (USDA),X3J8G8ZUC5C7,"AGE GENERAL ENGINEERING COMPANY, INC.",851947380
838,CONT_AWD_W911KB21C0030_9700_-NONE-_-NONE-,W911KB21C0030,75534601.14,2021-08-23,97,DEPARTMENT OF DEFENSE (DOD),T5F4GNTE2715,BAUER FOUNDATION CORP.,335565325
839,CONT_AWD_140L0622P0034_1422_-NONE-_-NONE-,140L0622P0034,19800.0,2022-09-06,14,DEPARTMENT OF THE INTERIOR (DOI),LKMDTGQ6T135,"CENTER FOR TOXICOLOGY & ENVIRONMENTAL HEALTH, LLC",721185315
840,CONT_AWD_12441922F0053_12C2_12444122A0030_12C2,12441922F0053,59529.6,2022-09-22,12,DEPARTMENT OF AGRICULTURE (USDA),XKJZUM3R3CW6,APEX FORESTRY CONSULTING LLC,32344
841,CONT_AWD_1240LU22F0121_12C2_12034319D0002_12C2,1240LU22F0121,40000.0,2022-09-09,12,DEPARTMENT OF AGRICULTURE (USDA),LPLYDB76BV54,"ALLWEST TESTING & ENGINEERING, L.L.C.",835013250
842,CONT_AWD_693JJ322F00486N_6925_NNG15SD27B_8000,693JJ322F00486N,200861.32,2022-09-30,69,DEPARTMENT OF TRANSPORTATION (DOT),J4KHM5JY79E3,"V3GATE, LLC",809213798
843,CONT_AWD_DOCT0002_1330_DOCST133017CQ0052_1330,DOCT0002,34233064.69,2018-05-14,13,DEPARTMENT OF COMMERCE (DOC),JXE6EFQKKPV6,"I.M. SYSTEMS GROUP, INC.",208524220
844,CONT_AWD_69056722F00120N_6925_69056721D000004_6925,69056722F00120N,162892.11,2022-08-26,69,DEPARTMENT OF TRANSPORTATION (DOT),USHVJJK5QXH4,"HDR ENGINEERING, INC.",972041155
845,CONT_AWD_692M1522F00123_6920_DTFACT17D00008_6920,692M1522F00123,383246.51,2022-07-14,69,DEPARTMENT OF TRANSPORTATION (DOT),F5F8BNA9WJQ9,TRC ENVIRONMENTAL CORPORATION,060951512
846,CONT_AWD_140D0422FP089_1406_140D8022D0098_1406,140D0422FP089,170000.0,2022-08-17,14,DEPARTMENT OF THE INTERIOR (DOI),EKQFPSPGYZQ3,HMC HELICOPTER SERVICE LLC,331865305
847,CONT_AWD_68HERC22F0379_6800_68HERC20D0026_6800,68HERC22F0379,254000.0,2022-06-27,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),DK4TBEJRAR56,,024213134
848,CONT_AWD_12FPC322F0217_12D0_12SPEC18D0008_12C3,12FPC322F0217,851215.83,2022-09-27,12,DEPARTMENT OF AGRICULTURE (USDA),LMF9HW9MPKL6,"RJH CONSULTANTS, INC.",801125999
849,CONT_AWD_W912ES22C0007_9700_-NONE-_-NONE-,W912ES22C0007,7653300.06,2022-05-19,97,DEPARTMENT OF DEFENSE (DOD),U86XNJFLNSF2,"HSG PARK JOINT VENTURE, LLC",583419301
850,CONT_AWD_140L3722F0191_1422_140L0620D0034_1422,140L3722F0191,264404.0,2022-08-18,14,DEPARTMENT OF THE INTERIOR (DOI),ZWBDMRJBEJ44,SUMMITT FORESTS INC.,975203777
851,CONT_AWD_693JJ919F000170_6940_693JJ918D000004_6940,693JJ919F000170,2271364.0,2019-09-18,69,DEPARTMENT OF TRANSPORTATION (DOT),KV6LNFQWZH48,TOXCEL LLC,201553061
852,CONT_AWD_W9127822C0022_9700_-NONE-_-NONE-,W9127822C0022,2799766.84,2022-06-21,97,DEPARTMENT OF DEFENSE (DOD),Q27FFN382KR5,"K-BELLE CONSULTANTS, L.L.C.",701181221
853,CONT_AWD_693KA822F00386_6920_693KA820D00011_6920,693KA822F00386,19361.6,2022-09-22,69,DEPARTMENT OF TRANSPORTATION (DOT),HFMTMDNAGP95,OCEUS NETWORKS INC.,201915449
854,CONT_AWD_6973GH22F01581_6920_6973GH22D00008_6920,6973GH22F01581,285152.97,2022-09-01,69,DEPARTMENT OF TRANSPORTATION (DOT),NQQJBJ3BBS28,"CHICKASAW STRATEGIC POINTE, LLC",730711166
855,CONT_AWD_1240LP22F0052_12C2_1282X918D0005_12C2,1240LP22F0052,505125.0,2022-04-27,12,DEPARTMENT OF AGRICULTURE (USDA),LPJLNREW5135,SWEAT US LLC,325046638
856,CONT_AWD_693JJ622F00017N_6930_47QRAD20DU130_4732,693JJ622F00017N,10513679.51,2022-08-31,69,DEPARTMENT OF TRANSPORTATION (DOT),EPUXNLX5EYC4,"AECOM TECHNICAL SERVICES, INC.",900713135
857,CONT_AWD_69319520F300037_6955_69319519D000015_6955,69319520F300037,3644023.0,2020-03-13,69,DEPARTMENT OF TRANSPORTATION (DOT),Y53MD79B68H7,"BURNS ENGINEERING, INC.",191037032
858,CONT_AWD_70RSAT19CB0000025_7001_-NONE-_-NONE-,70RSAT19CB0000025,12359360.91,2019-09-30,70,DEPARTMENT OF HOMELAND SECURITY (DHS),FHHNUSXGMCT6,,201704228
859,CONT_AWD_693C7322F00072N_6925_DTFH7117D00003_6925,693C7322F00072N,40392.52,2022-07-21,69,DEPARTMENT OF TRANSPORTATION (DOT),KX2FJTKWK1V7,"COLLINS ENGINEERS, INCORPORATED",606061871
860,CONT_AWD_12443922P0060_12C2_-NONE-_-NONE-,12443922P0060,40000.0,2022-06-15,12,DEPARTMENT OF AGRICULTURE (USDA),VNUEWWS28CQ5,EASTERN FOREST CONSULTANTS LLC,270128543
861,CONT_AWD_693JJ921F000036_6940_693JJ918D000019_6940,693JJ921F000036,2796458.68,2021-03-25,69,DEPARTMENT OF TRANSPORTATION (DOT),VM3RJUJSN3A4,TRANSPORTATION RESEARCH CENTER INC.,433199473
862,CONT_AWD_1240LR22P0098_12C2_-NONE-_-NONE-,1240LR22P0098,8132.0,2022-09-30,12,DEPARTMENT OF AGRICULTURE (USDA),MCPBDK9HU9T3,SABALA MANAGEMENT LLC,83616
863,CONT_AWD_68HE0720F0129_6800_68HE0118D0013_6800,68HE0720F0129,827053.9,2020-08-14,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),FMM7UDN2Z6Y9,CLEARPATH CONSULTANTS JV,921203308
864,CONT_AWD_1240BE22F0138_12C2_1240BE22A0038_12C2,1240BE22F0138,207770.0,2022-09-30,12,DEPARTMENT OF AGRICULTURE (USDA),JHARC6U9CLA5,"GE FORESTRY, INC",975011702
865,CONT_AWD_693JJ322F00276N_6925_693JJ319D000018_6925,693JJ322F00276N,145142.0,2022-09-13,69,DEPARTMENT OF TRANSPORTATION (DOT),CALKP4QGKLH3,"APPLIED PAVEMENT TECHNOLOGY, INC",618012722
866,CONT_AWD_12318722C0009_12C2_-NONE-_-NONE-,12318722C0009,7818190.0,2022-08-05,12,DEPARTMENT OF AGRICULTURE (USDA),ENM7S9RAW963,"RAMPART HELICOPTER SERVICES, LLC",80538
867,CONT_AWD_1282B122F0028_12C2_1282X919D0004_12C2,1282B122F0028,112000.0,2022-09-09,12,DEPARTMENT OF AGRICULTURE (USDA),RCRNKJ3SRA95,"GILES CONSTRUCTION, LLC",840741610
868,CONT_AWD_693JJ321F000441_6925_693JJ320A000002_6925,693JJ321F000441,247957.36,2021-09-28,69,DEPARTMENT OF TRANSPORTATION (DOT),FZH5JAFWM388,LONGEVITY CONSULTING LLC,201128850
869,CONT_AWD_693JJ322F00303N_6925_693JJ321D000005_6925,693JJ322F00303N,700000.0,2022-09-06,69,DEPARTMENT OF TRANSPORTATION (DOT),LU5TY1NRFHK8,"INSTITUTE OF TRANSPORTATION ENGINEERS, INC.",200064087
870,CONT_AWD_140F0322F0044_1448_140F0519D0001_1448,140F0322F0044,348887.19,2022-07-13,14,DEPARTMENT OF THE INTERIOR (DOI),RLGDG66L9JE6,"SHORT-ELLIOTT-HENDRICKSON, INCORPORATED",802227938
871,CONT_AWD_6973GH22F01728_6920_6973GH22D00015_6920,6973GH22F01728,290000.72,2022-09-13,69,DEPARTMENT OF TRANSPORTATION (DOT),VZH2RXQG6QD5,SENTINEL POWER SERVICES LLC,85377
872,CONT_AWD_69319522F40030N_6955_47QREA18D000Y_4732,69319522F40030N,31386.0,2022-07-22,69,DEPARTMENT OF TRANSPORTATION (DOT),C2R2ML1DWXW6,"MANAGEMENT CONCEPTS, INC.",221822641
